gene1,gene2,score
GLA,B4GALT6,0.852
GLA,B3GALNT1,0.911
GLA,HEXA,0.939
GLA,HEXB,0.941
GLA,A4GALT,0.949
HEXB,A4GALT,0.902
HEXB,B3GALNT1,0.905
HEXB,B3GALT4,0.916
HEXB,HEXA,0.998
B4GALT6,B3GALNT1,0.46
B4GALT6,B4GALT3,0.525
B4GALT6,B4GALT2,0.543
B4GALT6,B4GALT4,0.56
B4GALT6,B4GALT1,0.594
B4GALT6,B3GALT4,0.706
B4GALT6,A4GALT,0.939
B4GALT2,B3GALT4,0.459
B4GALT2,B4GALT4,0.558
B4GALT2,B4GALT1,0.907
B4GALT2,B4GALT3,0.912
B4GALT2,A4GALT,0.924
B4GALT2,B3GALNT1,0.928
B4GALT1,B3GALT4,0.454
B4GALT1,B4GALT4,0.912
B4GALT1,B4GALT3,0.922
B4GALT1,B3GALNT1,0.925
B4GALT1,A4GALT,0.947
A4GALT,B3GALT4,0.871
A4GALT,HEXA,0.913
A4GALT,B4GALT3,0.922
A4GALT,B4GALT4,0.938
A4GALT,B3GALNT1,0.996
B3GALT4,B4GALT3,0.414
B3GALT4,B4GALT4,0.559
B3GALT4,HEXA,0.918
B4GALT4,B4GALT3,0.912
B4GALT4,B3GALNT1,0.937
HEXA,B3GALNT1,0.918
B4GALT3,B3GALNT1,0.928
AAAS,NUP93,0.983
AAAS,NUP85,0.985
AAAS,NUP205,0.986
AAAS,NUP35,0.987
AAAS,NUP155,0.989
AAAS,NUP214,0.992
AAAS,NUP88,0.994
AAAS,NDC1,0.994
AAAS,SEH1L,0.994
AAAS,RANBP2,0.995
NUP155,NDC1,0.992
NUP155,NUP88,0.995
NUP155,NUP214,0.998
NUP155,NUP85,0.998
NUP155,SEH1L,0.999
NUP155,NUP205,0.999
NUP155,RANBP2,0.999
NUP155,NUP93,0.999
NUP155,NUP35,0.999
NUP85,NDC1,0.984
NUP85,RANBP2,0.992
NUP85,NUP35,0.993
NUP85,NUP205,0.998
NUP85,NUP88,0.998
NUP85,SEH1L,0.999
NUP85,NUP214,0.999
NUP85,NUP93,0.999
RANBP2,NDC1,0.971
RANBP2,SEH1L,0.993
RANBP2,NUP205,0.994
RANBP2,NUP35,0.997
RANBP2,NUP93,0.998
RANBP2,NUP214,0.999
RANBP2,NUP88,0.999
NUP205,NDC1,0.993
NUP205,NUP88,0.995
NUP205,NUP214,0.998
NUP205,NUP93,0.999
NUP205,NUP35,0.999
NUP205,SEH1L,0.999
NUP35,NUP214,0.992
NUP35,SEH1L,0.994
NUP35,NUP88,0.996
NUP35,NUP93,0.999
NUP35,NDC1,0.999
NUP93,NUP88,0.995
NUP93,NDC1,0.998
NUP93,SEH1L,0.999
NUP93,NUP214,0.999
NUP214,NDC1,0.975
NUP214,SEH1L,0.998
NUP214,NUP88,0.999
NDC1,NUP88,0.979
NDC1,SEH1L,0.988
SEH1L,NUP88,0.993
KRT9,AAGAB,0.732
AAGAB,AP1S2,0.629
AAGAB,AP1G2,0.636
AAGAB,AMPH,0.693
AAGAB,AP2A1,0.697
AAGAB,CCDC32,0.769
AAGAB,AP2A2,0.775
AAGAB,AP1G1,0.789
AAGAB,AP1S3,0.799
AAGAB,AP2S1,0.917
AP1G2,AP2A2,0.548
AP1G2,AP2A1,0.599
AP1G2,AP2S1,0.821
AP1G2,AP1G1,0.904
AP1G2,AP1S3,0.982
AP1G2,AP1S2,0.999
AP2A2,CCDC32,0.469
AP2A2,AP1G1,0.545
AP2A2,AP1S3,0.579
AP2A2,AP1S2,0.762
AP2A2,AMPH,0.893
AP2A2,AP2A1,0.955
AP2A2,AP2S1,0.999
AMPH,AP2S1,0.817
AMPH,AP2A1,0.863
AP2A1,CCDC32,0.442
AP2A1,AP1G1,0.739
AP2A1,AP1S3,0.741
AP2A1,AP1S2,0.833
AP2A1,AP2S1,0.999
AP1G1,AP2S1,0.873
AP1G1,AP1S2,0.997
AP1G1,AP1S3,0.999
AP1S3,AP2S1,0.579
AP1S3,AP1S2,0.902
CCDC32,AP2S1,0.776
AP2S1,AP1S2,0.751
NARS1,QARS1,0.887
NARS1,IARS2,0.889
NARS1,TARS3,0.902
NARS1,KARS1,0.931
NARS1,GARS1,0.939
NARS1,AARS1,0.947
NARS1,LARS1,0.954
NARS1,IARS1,0.965
NARS1,YARS1,0.966
NARS1,EPRS1,0.998
AARS1,IARS2,0.942
AARS1,TARS3,0.955
AARS1,QARS1,0.964
AARS1,LARS1,0.968
AARS1,EPRS1,0.976
AARS1,IARS1,0.98
AARS1,GARS1,0.983
AARS1,KARS1,0.992
AARS1,YARS1,0.996
QARS1,TARS3,0.918
QARS1,GARS1,0.925
QARS1,YARS1,0.959
QARS1,IARS2,0.992
QARS1,LARS1,0.999
QARS1,KARS1,0.999
QARS1,EPRS1,0.999
QARS1,IARS1,0.999
KARS1,GARS1,0.915
KARS1,TARS3,0.951
KARS1,YARS1,0.988
KARS1,IARS2,0.995
KARS1,IARS1,0.999
KARS1,EPRS1,0.999
KARS1,LARS1,0.999
TARS3,YARS1,0.866
TARS3,IARS2,0.896
TARS3,GARS1,0.913
TARS3,EPRS1,0.924
TARS3,IARS1,0.951
TARS3,LARS1,0.994
IARS2,GARS1,0.863
IARS2,IARS1,0.935
IARS2,YARS1,0.957
IARS2,LARS1,0.996
IARS2,EPRS1,0.999
EPRS1,GARS1,0.973
EPRS1,IARS1,0.999
EPRS1,YARS1,0.999
EPRS1,LARS1,0.999
YARS1,IARS1,0.966
YARS1,LARS1,0.98
YARS1,GARS1,0.989
IARS1,GARS1,0.97
IARS1,LARS1,0.999
GARS1,LARS1,0.895
AARS2,RARS2,0.905
AARS2,TARS2,0.91
AARS2,AARS1,0.91
AARS2,VARS1,0.915
AARS2,IARS2,0.918
AARS2,LARS2,0.924
AARS2,YARS1,0.927
AARS2,EARS2,0.927
AARS2,VARS2,0.937
AARS2,DARS2,0.955
AARS1,EARS2,0.894
AARS1,DARS2,0.907
AARS1,RARS2,0.911
AARS1,TARS2,0.924
AARS1,VARS2,0.927
AARS1,LARS2,0.929
AARS1,VARS1,0.938
IARS2,VARS2,0.865
IARS2,DARS2,0.895
IARS2,VARS1,0.896
IARS2,TARS2,0.902
IARS2,EARS2,0.93
IARS2,LARS2,0.982
IARS2,RARS2,0.987
TARS2,DARS2,0.777
TARS2,RARS2,0.807
TARS2,YARS1,0.869
TARS2,EARS2,0.877
TARS2,VARS2,0.889
TARS2,VARS1,0.91
TARS2,LARS2,0.982
RARS2,DARS2,0.888
RARS2,EARS2,0.918
RARS2,VARS2,0.935
RARS2,VARS1,0.943
RARS2,YARS1,0.959
RARS2,LARS2,0.99
YARS1,DARS2,0.898
YARS1,EARS2,0.928
YARS1,VARS2,0.947
YARS1,VARS1,0.956
YARS1,LARS2,0.979
VARS1,LARS2,0.87
VARS1,EARS2,0.88
VARS1,VARS2,0.926
VARS1,DARS2,0.953
VARS2,LARS2,0.84
VARS2,EARS2,0.876
VARS2,DARS2,0.916
EARS2,DARS2,0.929
EARS2,LARS2,0.964
DARS2,LARS2,0.876
ODC1,AZIN1,0.578
ODC1,ASS1,0.758
ODC1,AASS,0.813
ODC1,SRM,0.999
PHYKPL,BTD,0.415
PHYKPL,ALDH7A1,0.937
PHYKPL,AASS,0.944
AZIN1,ASS1,0.47
AZIN1,SRM,0.782
AZIN1,AASS,0.794
ASS1,SRM,0.61
ASS1,AASS,0.733
ASS1,AZIN2,0.739
AZIN2,AASS,0.794
AZIN2,SRM,0.904
SRM,BTD,0.472
SRM,AASS,0.936
ALDH7A1,AASS,0.956
AASS,SOD2-2,0.794
AASS,SOD2,0.794
AASS,BTD,0.819
GADL1,GAD1,0.904
GADL1,UPB1,0.909
GADL1,GAD2,0.914
GADL1,CNDP1,0.918
GADL1,ALDH1B1,0.927
GADL1,ALDH7A1,0.929
GADL1,ALDH3A2,0.931
GADL1,ABAT,0.949
ALDH5A1,ALDH1B1,0.443
ALDH5A1,ALDH6A1,0.487
ALDH5A1,GAD2,0.647
ALDH5A1,GAD1,0.725
ALDH5A1,ABAT,0.994
UPB1,GAD1,0.909
UPB1,GAD2,0.911
UPB1,ALDH1B1,0.916
UPB1,ALDH3A2,0.916
UPB1,CNDP1,0.927
UPB1,ALDH7A1,0.938
UPB1,ABAT,0.956
ALDH3A2,CNDP1,0.91
ALDH3A2,GAD2,0.926
ALDH3A2,GAD1,0.928
ALDH3A2,ALDH1B1,0.93
ALDH3A2,ALDH6A1,0.939
ALDH3A2,ABAT,0.947
GAD1,CNDP1,0.92
GAD1,ALDH1B1,0.927
GAD1,ALDH7A1,0.929
GAD1,GAD2,0.968
